id,amount,currency,status,description,customer_email,created,payment_method,payment_method_details.type,payment_method_details.card.brand,payment_method_details.card.last4,payment_method_details.card.exp_month,payment_method_details.card.exp_year,metadata.order_id
pi_DoirIvUcRLSCAFmU,60325,eur,requires_action,Billion medical.,hunteralexis@example.net,1742656861,pm_EiVXsECFNxKLUFKV,card,mastercard,6930,10,2026,2574c5aa-4488-473b-86ff-38c02d35539e
pi_CCXPXVIHgGRVvcmb,24348,cad,requires_payment_method,Career call.,jwise@example.net,1741960946,pm_xgHJqTkyjqsJucYH,card,amex,6311,11,2025,7d74aba9-ee55-4e8a-805b-b46f9767b156
pi_UQGtiINUDvGtUBGv,14918,usd,succeeded,Model board although.,martinezdanielle@example.net,1743772840,pm_YgZiYHSqSqIoXDIA,card,mastercard,0365,7,2030,885c71ef-9cea-4baa-b2d3-110b0b2f2f1b
pi_vbXCDynIlujMSoty,78446,usd,requires_action,Something inside value.,reyesdiana@example.net,1743437524,pm_tLakLTBsuMTdXWZf,card,amex,2825,5,2025,15389f19-a94d-495f-b754-0e1b7f1d9f18
pi_wQzhRwUeyCwUHvCy,69909,cad,succeeded,Bit board price give I.,rcole@example.net,1742387564,pm_IGsfXECNQCxdMarX,card,visa,3909,10,2028,ab68b361-a9f4-4cf8-b9c6-87d2f62c1fce
pi_WRGJzHCEuYlEevtr,74270,cad,requires_payment_method,Meeting science century.,zherrera@example.net,1741618290,pm_kHpboEHFXIcCBtOw,card,mastercard,1972,9,2026,b01c737f-0a37-49b6-b4fe-4feed0fcce6b
pi_yimwGPToFfCvvoOZ,57621,cad,requires_action,Cultural factor garden.,emendoza@example.org,1742053629,pm_mtQfmMyzGvLAuHZR,card,amex,0653,10,2030,451b8dac-ea82-4987-8a93-a95ae6e5e2a8
pi_LZHzwvMZWhckcsxt,17055,eur,requires_action,Travel model health.,dmartinez@example.org,1743717537,pm_OSPRQefPGWmhdkNB,card,amex,1379,11,2028,8f3ca15d-aa03-4029-9e01-6731f12ad345
pi_cwqQqGGnguSCcfoM,89595,gbp,requires_action,Learn policy early exactly.,johnsondavid@example.com,1742662328,pm_eJiIQKiAYQzWfoty,card,mastercard,6325,1,2025,ddaf7d0e-56db-4588-b72e-0746781ec376
pi_tHPjwbHnTHOVtBSA,14607,gbp,requires_payment_method,International source attorney successful.,bdrake@example.net,1743595614,pm_ZfjqjlvtqvZPphgx,card,amex,9602,5,2029,d4e7fb23-883f-4012-9da5-745573742f0b
